Time,EMG Value
1734578086.9447105,7
1734578086.9447105,63
1734578086.9447105,66
1734578086.9447105,71
1734578086.9447105,62
1734578086.9447105,65
1734578086.9447105,57
1734578086.9447105,63
1734578086.9447105,65
1734578086.9447105,65
1734578086.9447105,65
1734578086.9447105,57
1734578086.9503636,65
1734578086.9503636,58
1734578086.9503636,62
1734578086.9514709,61
1734578086.9514709,63
1734578086.9514709,57
1734578086.9514709,56
1734578086.9514709,62
1734578086.996064,56
1734578087.0522928,57
1734578087.1030328,56
1734578087.1526453,56
1734578087.2028687,56
1734578087.2461705,59
1734578087.295734,52
1734578087.352534,59
1734578087.3990507,57
1734578087.458795,61
1734578087.503074,63
1734578087.5557468,60
1734578087.6023233,60
1734578087.6470807,59
1734578087.7033043,63
1734578087.761476,57
1734578087.8109179,61
1734578087.8596385,59
1734578087.8986187,63
1734578087.9614038,81
1734578088.012381,78
1734578088.046452,75
1734578088.1125028,78
1734578088.162645,68
1734578088.211537,71
1734578088.2614048,69
1734578088.3125083,74
1734578088.3616176,79
1734578088.412429,70
1734578088.461517,68
1734578088.5125673,72
1734578088.5630884,69
1734578088.6130035,68
1734578088.662473,70
1734578088.713258,67
1734578088.762774,60
1734578088.8129134,63
1734578088.8625536,61
1734578088.9127283,61
1734578088.962795,60
1734578089.0132303,65
1734578089.0627944,65
1734578089.1128995,63
1734578089.1628375,67
1734578089.2129364,64
1734578089.263047,64
1734578089.3127818,66
1734578089.362706,59
1734578089.4133315,60
1734578089.463265,56
1734578089.5127084,52
1734578089.5626316,55
1734578089.6130285,50
1734578089.6699102,55
1734578089.7127597,51
1734578089.7631104,53
1734578089.8148544,52
1734578089.869466,57
1734578089.9194427,57
1734578089.9630187,67
1734578090.0200179,86
1734578090.0692158,98
1734578090.112637,107
1734578090.1631658,120
1734578090.2129142,120
1734578090.2626898,119
1734578090.3249261,112
1734578090.3629968,137
1734578090.4182255,177
1734578090.4700658,225
1734578090.5202794,243
1734578090.563011,502
1734578090.6201253,569
1734578090.6769555,648
1734578090.726528,574
1734578090.7631135,665
1734578090.828293,585
1734578090.87831,412
1734578090.9272559,318
1734578090.9699416,245
1734578091.0296273,204
1734578091.0784235,167
1734578091.1282063,156
1734578091.1762197,140
1734578091.229565,129
1734578091.2794888,119
1734578091.3283443,106
1734578091.3782852,96
1734578091.4294832,87
1734578091.4796674,78
1734578091.5294707,70
1734578091.5783494,70
1734578091.6297073,62
1734578091.6799045,61
1734578091.729389,58
1734578091.7782335,59
1734578091.831911,65
1734578091.879425,61
1734578091.9292245,63
1734578091.9792514,63
1734578092.029942,68
1734578092.0794542,66
1734578092.1283858,66
1734578092.1852267,60
1734578092.2292595,66
1734578092.27985,68
1734578092.329292,71
1734578092.3858328,71
1734578092.429416,62
1734578092.4783146,58
1734578092.5293276,51
1734578092.5862722,59
1734578092.629332,59
1734578092.679592,61
1734578092.7295372,58
1734578092.77984,58
1734578092.8298893,59
1734578092.8797073,53
1734578092.9294496,54
1734578092.9872353,54
1734578093.0363357,54
1734578093.0797086,57
1734578093.1301334,53
1734578093.1797023,51
1734578093.2296264,56
1734578093.2879357,62
1734578093.3295627,63
1734578093.385387,67
1734578093.435892,60
1734578093.4861128,62
1734578093.5301228,59
1734578093.5799954,83
1734578093.640136,73
1734578093.688256,69
1734578093.7370977,61
1734578093.787176,64
1734578093.8439343,62
1734578093.8869207,61
1734578093.929705,70
1734578093.9797084,85
1734578094.0437214,76
1734578094.0935621,73
1734578094.1346982,73
1734578094.1796017,70
1734578094.2451835,71
1734578094.2869027,67
1734578094.3301275,63
1734578094.3951745,65
1734578094.4450765,81
1734578094.495195,75
1734578094.530077,65
1734578094.597353,70
1734578094.6467602,69
1734578094.6951947,75
1734578094.7450776,86
1734578094.7950904,76
1734578094.847293,71
1734578094.8951619,76
1734578094.946847,85
1734578094.9951944,85
1734578095.046331,84
1734578095.0951598,99
1734578095.147201,108
1734578095.1943355,117
1734578095.2466254,127
1734578095.2967799,147
1734578095.3467097,170
1734578095.3998802,203
1734578095.446481,227
1734578095.4965348,260
1734578095.5461729,384
