Time,EMG Value
1734578246.0084095,50
1734578246.0084095,51
1734578246.0084095,48
1734578246.0084095,50
1734578246.0115879,48
1734578246.0115879,49
1734578246.0115879,48
1734578246.0115879,49
1734578246.0115879,51
1734578246.0627248,53
1734578246.1118052,47
1734578246.16363,48
1734578246.2138634,46
1734578246.2629755,47
1734578246.3127918,47
1734578246.363631,49
1734578246.4195595,47
1734578246.4649892,49
1734578246.5129662,48
1734578246.5640078,48
1734578246.6135557,48
1734578246.668355,50
1734578246.7132702,46
1734578246.7632258,48
1734578246.813533,47
1734578246.8690424,44
1734578246.9142087,47
1734578246.9701822,47
1734578247.0191383,46
1734578247.06957,48
1734578247.1134086,49
1734578247.1692474,48
1734578247.2134933,49
1734578247.2633905,49
1734578247.313034,49
1734578247.363355,47
1734578247.41327,47
1734578247.4757001,46
1734578247.5242765,47
1734578247.5719767,45
1734578247.6131983,46
1734578247.6694658,48
1734578247.7199757,48
1734578247.7632985,48
1734578247.828387,50
1734578247.872633,48
1734578247.9215174,55
1734578247.966807,50
1734578248.0284557,51
1734578248.0753605,53
1734578248.1205876,53
1734578248.1768167,53
1734578248.2299247,53
1734578248.2787318,49
1734578248.3258462,50
1734578248.3792822,51
1734578248.4288573,50
1734578248.4794075,51
1734578248.5296068,49
1734578248.5788703,49
1734578248.6295214,51
1734578248.6798108,47
1734578248.7288961,47
1734578248.782549,47
1734578248.829476,79
1734578248.8798482,67
1734578248.9295557,60
1734578248.9797218,56
1734578249.0300925,54
1734578249.0793533,52
1734578249.1283715,52
1734578249.1785157,51
1734578249.2300205,52
1734578249.2801812,52
1734578249.3297706,54
1734578249.380306,52
1734578249.4300191,58
1734578249.4797766,55
1734578249.5299075,56
1734578249.5798838,56
1734578249.6299486,54
1734578249.6865284,56
1734578249.7301536,58
1734578249.7828891,57
1734578249.8298788,57
1734578249.8794115,53
1734578249.9293003,53
1734578249.9790802,52
1734578250.0306444,52
1734578250.0804632,56
1734578250.1343849,54
1734578250.1863918,57
1734578250.2359796,59
1734578250.2806568,59
1734578250.330347,56
1734578250.3802683,55
1734578250.4377344,55
1734578250.486084,51
1734578250.5372033,52
1734578250.5803056,54
1734578250.6300876,51
1734578250.6873338,53
1734578250.7362566,49
1734578250.7862422,48
1734578250.8299818,46
1734578250.8808417,49
1734578250.9370043,46
1734578250.9941673,46
1734578251.043093,46
1734578251.0802567,47
1734578251.1356418,47
1734578251.193389,46
1734578251.2429976,46
1734578251.2803638,44
1734578251.3368044,44
1734578251.3952465,44
1734578251.4451797,44
1734578251.4915164,44
1734578251.546426,43
1734578251.5951858,43
1734578251.6436868,43
1734578251.6952333,44
1734578251.7470906,43
1734578251.7967234,42
1734578251.846566,42
1734578251.8951712,43
1734578251.9469326,45
1734578251.9970202,44
1734578252.0471935,49
1734578252.0963938,48
1734578252.1470046,46
1734578252.1965022,45
