Time,EMG Value
1734578328.0699363,48
1734578328.0699363,48
1734578328.0699363,50
1734578328.0699363,51
1734578328.0699363,54
1734578328.0699363,52
1734578328.0699363,47
1734578328.0699363,48
1734578328.0699363,47
1734578328.1445222,49
1734578328.1763744,48
1734578328.2280948,51
1734578328.2778363,49
1734578328.3276389,51
1734578328.3781965,49
1734578328.4277186,49
1734578328.4785297,48
1734578328.5277057,48
1734578328.5842268,46
1734578328.627609,49
1734578328.6861067,48
1734578328.7283595,50
1734578328.7788565,48
1734578328.8333077,51
1734578328.8875551,56
1734578328.9278622,68
1734578328.9843116,60
1734578329.0344348,59
1734578329.0783052,59
1734578329.1286216,70
1734578329.184103,70
1734578329.2344813,69
1734578329.283918,101
1734578329.328463,103
1734578329.3906562,111
1734578329.4278517,95
1734578329.483905,128
1734578329.5284553,147
1734578329.590104,134
1734578329.638795,130
1734578329.6865606,119
1734578329.7432554,114
1734578329.7848382,100
1734578329.8421328,136
1734578329.8902435,127
1734578329.9425504,116
1734578329.9931164,111
1734578330.041628,120
1734578330.0951047,120
1734578330.1449542,107
1734578330.193032,92
1734578330.2433012,99
1734578330.2946122,101
1734578330.343231,102
1734578330.3949392,85
1734578330.443295,79
1734578330.493167,71
1734578330.544908,76
1734578330.5946693,91
1734578330.643319,89
1734578330.6947668,71
1734578330.7453532,59
1734578330.7946186,55
1734578330.8447976,53
1734578330.8947601,56
1734578330.9448843,54
1734578330.994619,58
1734578331.0444393,56
1734578331.097823,55
1734578331.1445038,57
1734578331.1950736,58
1734578331.2451463,57
1734578331.295419,58
1734578331.3451133,56
1734578331.3949711,58
1734578331.4495156,60
1734578331.4947286,61
1734578331.5452845,62
1734578331.594785,58
1734578331.644544,58
1734578331.7015128,62
1734578331.7509077,61
1734578331.7953906,64
1734578331.844614,65
1734578331.8954384,65
1734578331.9449425,64
1734578331.9999826,62
1734578332.0453408,63
1734578332.1010582,66
1734578332.1450381,77
1734578332.2000186,73
1734578332.2450163,68
1734578332.295293,69
1734578332.3452346,69
1734578332.3956943,67
1734578332.445345,94
1734578332.5017962,71
1734578332.5455215,73
1734578332.5949068,59
1734578332.6452196,59
1734578332.6950908,61
1734578332.7537417,63
1734578332.7953815,61
1734578332.8454113,58
1734578332.9020789,57
1734578332.9587119,51
1734578333.0071516,57
1734578333.0554426,54
1734578333.1101058,59
1734578333.1600928,54
1734578333.2084188,55
1734578333.2573924,50
1734578333.310111,54
1734578333.3601162,50
1734578333.4094195,54
1734578333.458552,50
1734578333.5100212,54
1734578333.558697,51
1734578333.6104891,52
1734578333.6584384,52
1734578333.7100813,53
1734578333.760154,53
1734578333.8100176,54
1734578333.861466,51
1734578333.9101546,55
1734578333.9619124,51
1734578334.0103102,58
1734578334.0611994,70
1734578334.111013,64
1734578334.1616597,74
1734578334.2117617,77
1734578334.2616374,68
1734578334.3144093,91
1734578334.361547,84
1734578334.4112833,95
1734578334.4616346,80
1734578334.5120413,93
1734578334.5613542,92
1734578334.6113207,93
1734578334.663936,98
1734578334.7117124,111
1734578334.762089,134
1734578334.814922,158
1734578334.861753,167
1734578334.9190035,156
1734578334.9688056,155
1734578335.0194402,173
1734578335.068806,173
1734578335.1194928,143
1734578335.1689322,159
1734578335.2197778,144
1734578335.2678463,156
1734578335.3197956,146
1734578335.3685822,183
1734578335.419947,155
1734578335.4619694,154
1734578335.520326,139
1734578335.56908,157
1734578335.6208236,130
1734578335.6681843,128
1734578335.7208498,106
1734578335.762432,122
1734578335.82222,99
1734578335.8704617,83
1734578335.9211004,70
1734578335.9620697,63
1734578336.021138,64
1734578336.0758662,92
1734578336.1211164,77
1734578336.1674933,62
1734578336.2212443,63
1734578336.2755342,59
1734578336.3214962,59
1734578336.3686926,52
1734578336.428231,58
1734578336.476953,52
1734578336.5224361,51
1734578336.569019,52
1734578336.6284535,47
1734578336.676992,47
1734578336.7262292,49
1734578336.7675536,50
1734578336.8284087,53
1734578336.8770278,50
1734578336.9270256,51
1734578336.9787948,50
1734578337.0300114,52
1734578337.0783067,50
1734578337.1285362,53
1734578337.1782231,50
1734578337.2289019,51
1734578337.2782884,49
1734578337.3281083,49
1734578337.376954,50
1734578337.4290967,48
1734578337.4784205,47
1734578337.5270672,47
1734578337.5833886,49
1734578337.6281414,47
1734578337.6769319,48
1734578337.7269242,46
1734578337.7911222,46
1734578337.831438,45
1734578337.8782637,46
1734578337.9284863,48
1734578337.980133,49
1734578338.0286148,50
1734578338.0781584,47
1734578338.1351335,46
1734578338.183855,47
1734578338.2283773,47
1734578338.278167,47
1734578338.3351996,48
1734578338.3787625,47
1734578338.4287674,47
1734578338.479299,47
1734578338.528226,46
1734578338.5788326,45
1734578338.6350706,46
1734578338.679235,45
1734578338.7360232,47
1734578338.7851028,47
1734578338.8351731,47
1734578338.878758,46
1734578338.9285257,48
1734578338.9788213,49
1734578339.0386717,50
1734578339.0863478,49
1734578339.1354258,49
1734578339.1858013,49
1734578339.2352486,51
1734578339.278971,53
1734578339.3326247,53
1734578339.3875933,49
1734578339.434636,50
1734578339.4782667,53
1734578339.535649,61
1734578339.5937665,68
1734578339.643158,70
1734578339.6918242,75
1734578339.735807,90
1734578339.793824,74
1734578339.8438392,97
1734578339.8931491,90
1734578339.9442718,105
1734578339.9943707,102
1734578340.0444639,96
1734578340.0937462,87
1734578340.144355,106
1734578340.1937485,121
1734578340.2455778,125
1734578340.2951455,119
1734578340.3459113,130
1734578340.3938704,140
1734578340.4449089,155
1734578340.495229,158
1734578340.5453315,161
1734578340.5949595,159
1734578340.6438723,154
1734578340.694527,157
1734578340.7454007,161
1734578340.7937882,156
1734578340.8451831,141
1734578340.8952215,146
1734578340.9453921,118
1734578340.9947507,109
1734578341.0515292,89
1734578341.0961273,78
1734578341.1454868,68
1734578341.1949701,64
1734578341.2450907,86
1734578341.3011723,88
1734578341.3452027,72
1734578341.3958607,64
1734578341.4518552,62
1734578341.5018623,62
1734578341.5513473,66
1734578341.5953333,69
1734578341.6499746,67
1734578341.6954362,65
1734578341.7456646,65
1734578341.7955658,65
1734578341.8523722,64
1734578341.901848,63
1734578341.945766,63
1734578341.9955974,63
1734578342.052705,64
1734578342.1015947,68
1734578342.1512413,66
1734578342.19504,66
1734578342.2506049,66
1734578342.2974093,63
1734578342.354912,64
1734578342.404701,62
1734578342.4523385,64
1734578342.4953713,61
1734578342.557987,64
1734578342.6070576,67
1734578342.6552982,64
1734578342.7106614,70
1734578342.7461112,65
1734578342.8086164,64
1734578342.8571544,60
1734578342.9107828,59
1734578342.9607153,58
1734578343.0095437,69
1734578343.058261,65
1734578343.111976,58
1734578343.16074,54
1734578343.2107828,55
1734578343.2623477,57
1734578343.3106868,60
1734578343.3622603,61
1734578343.4107192,59
1734578343.4621942,61
1734578343.5118206,83
1734578343.5617821,75
1734578343.611948,72
1734578343.6620152,77
1734578343.7121332,85
1734578343.7622838,72
1734578343.8107407,66
1734578343.8606248,61
1734578343.9106245,63
1734578343.9617167,80
1734578344.011066,76
1734578344.0628834,94
1734578344.1118486,82
1734578344.1622314,68
1734578344.2119772,61
1734578344.2624686,63
1734578344.3139784,81
1734578344.3618143,96
1734578344.4120038,121
1734578344.4641285,147
1734578344.5214689,123
1734578344.5619442,111
1734578344.6188455,110
1734578344.6624029,115
1734578344.712068,106
1734578344.7621276,105
1734578344.8185804,125
1734578344.8620632,113
1734578344.9195404,130
1734578344.9621484,140
1734578345.0196025,152
1734578345.062001,177
1734578345.1194232,142
1734578345.1621177,138
1734578345.2186396,133
1734578345.2631407,163
1734578345.3138335,162
1734578345.3622262,196
1734578345.4240553,161
1734578345.4721072,171
1734578345.5121212,166
1734578345.561751,145
1734578345.6271138,167
1734578345.6701255,126
1734578345.7120395,130
1734578345.7781203,126
1734578345.8278606,115
1734578345.8766036,98
1734578345.9257083,85
1734578345.9627054,78
