Time,EMG Value
1734578548.7765098,47
1734578548.7765098,47
1734578548.7765098,47
1734578548.7765098,44
1734578548.7765098,44
1734578548.7765098,43
1734578548.7765098,44
1734578548.7765098,47
1734578548.7765098,64
1734578548.7765098,56
1734578548.7765098,53
1734578548.7765098,53
1734578548.7765098,53
1734578548.7765098,52
1734578548.7896237,51
1734578548.7896237,50
1734578548.7896237,50
1734578548.7896237,52
1734578548.7896237,54
1734578548.7896237,53
1734578548.7896237,51
1734578548.7896237,52
1734578548.7896237,50
1734578548.7896237,48
1734578548.7896237,47
1734578548.7896237,48
1734578548.7896237,50
1734578548.8045337,50
1734578548.8045337,48
1734578548.8045337,47
1734578548.8045337,46
1734578548.8045337,45
1734578548.8045337,47
1734578548.8045337,47
1734578548.8045337,47
1734578548.8084936,44
1734578548.8086898,44
1734578548.8086898,43
1734578548.8086898,44
1734578548.8086898,47
1734578548.8086898,64
1734578548.8086898,56
1734578548.8086898,53
1734578548.8086898,48
1734578548.8086898,46
1734578548.815812,50
1734578548.8325603,47
1734578548.8325603,50
1734578548.8325603,51
1734578548.8325603,49
1734578548.8325603,48
1734578548.8325603,48
1734578548.837177,51
1734578548.8854692,49
1734578548.9366732,48
1734578548.9859672,48
1734578549.0364134,47
1734578549.0804753,49
1734578549.1366413,51
1734578549.186523,69
1734578549.2304544,60
1734578549.2871268,55
1734578549.3305387,59
1734578549.3869166,81
1734578549.4399397,71
1734578549.4801483,81
1734578549.5398853,83
1734578549.5809243,105
1734578549.6364617,90
1734578549.679956,95
1734578549.737307,110
1734578549.780279,94
1734578549.8417046,87
1734578549.8897212,83
1734578549.9423935,82
1734578549.9806485,79
1734578550.03744,73
1734578550.0953755,82
1734578550.145304,73
1734578550.1938124,107
1734578550.2303798,94
1734578550.2968445,83
1734578550.3451293,89
1734578550.3951948,87
1734578550.4442832,86
1734578550.4952042,84
1734578550.546767,82
1734578550.5979128,107
1734578550.6469798,116
1734578550.6972277,152
1734578550.7471883,121
1734578550.7971663,140
1734578550.8474464,114
1734578550.896957,95
1734578550.9459658,84
1734578550.9968956,69
1734578551.0466096,61
1734578551.097283,62
1734578551.1471486,62
1734578551.1971986,60
1734578551.246947,63
1734578551.29776,63
1734578551.3470738,67
1734578551.4014704,65
1734578551.4486554,72
1734578551.496984,76
1734578551.546834,70
1734578551.603018,64
1734578551.652097,63
1734578551.6970286,74
1734578551.746316,66
1734578551.8033829,62
1734578551.847314,61
1734578551.8970397,63
1734578551.9481997,64
1734578552.0043483,62
1734578552.0532603,62
1734578552.097236,59
1734578552.1471658,60
1734578552.197624,59
1734578552.2540147,57
1734578552.3037007,52
1734578552.3470633,52
1734578552.4037914,51
1734578552.453044,54
1734578552.4964876,51
1734578552.5472353,53
1734578552.604099,52
1734578552.6470494,52
1734578552.6971817,53
1734578552.7582262,53
1734578552.806289,50
1734578552.8543236,51
1734578552.8971665,51
1734578552.953574,54
1734578553.0040715,56
1734578553.0543675,61
1734578553.104102,54
1734578553.14697,59
1734578553.2093544,72
1734578553.2621791,78
1734578553.304256,66
1734578553.3473632,70
1734578553.4041193,64
1734578553.4622107,64
1734578553.512202,65
1734578553.5593092,67
1734578553.6137028,69
1734578553.6622028,64
1734578553.7122252,60
1734578553.760727,64
1734578553.813148,66
1734578553.8635669,60
1734578553.9122097,64
1734578553.9622297,66
1734578554.0140748,63
1734578554.0615034,64
1734578554.1129055,60
1734578554.162109,65
1734578554.2264276,57
1734578554.2793725,59
1734578554.3144996,61
1734578554.3648121,65
1734578554.4145014,66
1734578554.4648223,63
1734578554.5138679,64
1734578554.5667398,71
1734578554.6138976,68
1734578554.663313,63
1734578554.7134135,62
1734578554.7638998,57
1734578554.815313,55
1734578554.8763824,54
1734578554.9133115,57
1734578554.964018,53
1734578555.0135496,53
1734578555.0632823,56
1734578555.1198258,52
1734578555.170153,53
1734578555.2143617,50
1734578555.2639866,53
1734578555.313371,51
