Time Window,Movement,EMG Value
0,4fingerflex,59.07692307692308
1,4fingerflex,70.1
2,4fingerflex,58.55
3,4fingerflex,294.2
4,4fingerflex,104.8
5,4fingerflex,61.55
6,4fingerflex,62.05
7,4fingerflex,73.0
8,4fingerflex,276.55
9,4fingerflex,114.05
10,4fingerflex,70.35
11,4fingerflex,67.75
12,4fingerflex,62.0
13,4fingerflex,78.95
14,4fingerflex,309.75
15,4fingerflex,67.2
16,4fingerflex,72.55
17,4fingerflex,54.10526315789474
18,4fingerflex,60.4
19,4fingerflex,289.6
20,4fingerflex,104.75
21,4fingerflex,75.75
22,4fingerflex,57.75
23,4fingerflex,75.2
24,4fingerflex,307.4
25,4fingerflex,107.5
26,4fingerflex,77.73684210526316
27,4fingerflex,60.4
28,4fingerflex,69.85
29,4fingerflex,226.4
30,4fingerflex,203.1
31,4fingerflex,60.65
32,4fingerflex,66.25
33,4fingerflex,50.5
34,4fingerflex,53.7
35,4fingerflex,351.89473684210526
36,4fingerflex,111.55
37,4fingerflex,64.25
38,4fingerflex,56.25
39,4fingerflex,60.2
40,4fingerflex,72.6
41,4fingerflex,349.6
42,4fingerflex,78.05
43,4fingerflex,63.45
44,4fingerflex,51.85
45,4fingerflex,59.36842105263158
46,4fingerflex,324.85
47,4fingerflex,62.65
48,4fingerflex,77.4
49,4fingerflex,60.05
50,4fingerflex,58.65
51,4fingerflex,159.7
52,4fingerflex,195.05
53,4fingerflex,83.3
54,4fingerflex,73.57894736842105
55,4fingerflex,59.85
56,4fingerflex,48.15
57,4fingerflex,184.6
58,4fingerflex,85.85
59,4fingerflex,76.4
60,4fingerflex,80.0
159,Index Flex,48.25925925925926
160,Index Flex,48.0
161,Index Flex,53.0
162,Index Flex,54.4
163,Index Flex,52.7
164,Index Flex,44.26315789473684
165,Index Flex,46.4
166,Index Flex,46.6
167,Index Flex,50.3
168,Index Flex,50.35
169,Index Flex,49.85
170,Index Flex,46.85
171,Index Flex,52.15
172,Index Flex,53.6
173,Index Flex,57.25
174,Index Flex,53.473684210526315
175,Index Flex,49.8
176,Index Flex,48.5
177,Index Flex,57.85
178,Index Flex,56.35
179,Index Flex,53.15
180,Index Flex,55.5
181,Index Flex,52.35
182,Index Flex,52.4
183,Index Flex,61.55
184,Index Flex,71.15789473684211
185,Index Flex,58.85
186,Index Flex,55.4
187,Index Flex,45.5
188,Index Flex,47.35
189,Index Flex,53.85
190,Index Flex,55.1
191,Index Flex,64.0
192,Index Flex,63.4
193,Index Flex,49.68421052631579
194,Index Flex,52.4
195,Index Flex,66.6
196,Index Flex,54.25
