Time,EMG Value
1734578424.38837,287
1734578424.38837,257
1734578424.38837,234
1734578424.3914745,211
1734578424.3914745,193
1734578424.3914745,178
1734578424.3914745,166
1734578424.3914745,150
1734578424.3914745,145
1734578424.4465954,135
1734578424.4971275,121
1734578424.5526798,115
1734578424.5964472,107
1734578424.6467342,99
1734578424.6966336,96
1734578424.7524343,92
1734578424.7984307,91
1734578424.8483853,88
1734578424.8964221,85
1734578424.9465277,79
1734578424.9966323,77
1734578425.0464442,78
1734578425.0963528,78
1734578425.1470976,80
1734578425.2027502,76
1734578425.2472925,78
1734578425.2967808,87
1734578425.353742,96
1734578425.402358,92
1734578425.4535224,94
1734578425.5023248,85
1734578425.5470061,87
1734578425.5966585,90
1734578425.6575983,90
1734578425.6975303,105
1734578425.7470946,110
1734578425.809623,109
1734578425.8579187,121
1734578425.9062452,123
1734578425.9617648,122
1734578425.9969358,131
1734578426.0467575,147
1734578426.109169,118
1734578426.1617224,105
1734578426.2100768,99
1734578426.2466137,91
1734578426.3022249,94
1734578426.36173,106
1734578426.4117587,115
1734578426.4543324,104
1734578426.5133693,111
1734578426.562834,112
1734578426.6118183,103
1734578426.6618347,96
1734578426.7133737,110
1734578426.7628574,94
1734578426.8120003,88
1734578426.8619297,99
1734578426.9141638,91
1734578426.9635022,96
1734578427.0133507,93
1734578427.0617688,81
1734578427.1134157,71
1734578427.1636589,77
1734578427.2140393,81
1734578427.262731,67
1734578427.316463,84
1734578427.3642304,73
1734578427.413383,78
1734578427.4639134,73
1734578427.5145228,76
1734578427.5629754,74
1734578427.6145787,73
1734578427.66945,70
1734578427.7133944,75
1734578427.7632153,67
1734578427.8130841,69
1734578427.8629484,66
1734578427.9134164,68
1734578427.9635108,73
1734578428.0131538,69
1734578428.0631597,64
1734578428.1198094,76
1734578428.1628966,60
1734578428.2198775,75
1734578428.2689314,70
1734578428.3188627,71
1734578428.3634505,70
1734578428.4214246,80
1734578428.4702284,75
1734578428.5135713,70
1734578428.5632863,76
1734578428.6137018,73
1734578428.6703403,72
1734578428.7135017,72
1734578428.7694764,69
1734578428.8201926,76
1734578428.8636668,66
1734578428.920655,64
1734578428.9695926,64
1734578429.0132453,64
1734578429.070535,70
1734578429.1192977,61
1734578429.1695342,69
1734578429.2136083,64
1734578429.2632134,64
1734578429.320707,58
1734578429.3636613,62
1734578429.4134054,57
1734578429.4757097,80
1734578429.528553,67
1734578429.5774877,69
1734578429.6261048,68
1734578429.6750028,77
1734578429.7298174,75
1734578429.7785685,85
1734578429.8276463,80
1734578429.8706174,82
1734578429.928697,87
1734578429.9786167,86
1734578430.0286746,85
1734578430.078538,92
1734578430.1297286,91
1734578430.1786256,93
1734578430.2306314,106
1734578430.2796807,94
1734578430.3316083,129
1734578430.378601,116
1734578430.4297016,136
1734578430.4803188,126
1734578430.530273,129
1734578430.5797234,139
1734578430.6305664,195
1734578430.6808782,177
1734578430.7301118,168
1734578430.7807837,191
1734578430.8333526,183
1734578430.880124,157
1734578430.9303126,143
1734578430.9864304,124
1734578431.0309336,100
1734578431.080545,110
1734578431.1301801,90
1734578431.1797934,78
1734578431.230532,76
1734578431.2803893,75
1734578431.3332226,66
1734578431.3801727,60
1734578431.4370337,74
1734578431.4860866,64
1734578431.5329545,75
1734578431.5796275,70
1734578431.6302745,67
1734578431.6801858,70
1734578431.730147,75
1734578431.7803051,65
1734578431.8323889,70
1734578431.8805897,58
1734578431.938796,50
1734578431.9874837,61
1734578432.0397108,57
1734578432.0868948,67
1734578432.1303792,73
1734578432.1798174,71
1734578432.2360816,70
1734578432.2809632,63
1734578432.3374953,69
1734578432.3806562,69
1734578432.4377728,77
1734578432.4799755,70
1734578432.5299866,70
1734578432.5798242,68
1734578432.636846,73
1734578432.694189,85
1734578432.738428,76
1734578432.7883515,82
1734578432.8463616,83
1734578432.8954778,70
1734578432.9454238,72
