Time,EMG Value
1734578742.6764114,62
1734578742.6764114,60
1734578742.6764114,57
1734578742.6764114,55
1734578742.6764114,58
1734578742.6764114,53
1734578742.6764114,56
1734578742.6764114,54
1734578742.6764114,56
1734578742.7370393,53
1734578742.775143,52
1734578742.8323338,52
1734578742.8747191,53
1734578742.930401,51
1734578742.9740458,48
1734578743.039237,51
1734578743.0889935,47
1734578743.1239042,48
1734578743.180814,44
1734578743.240112,48
1734578743.2889652,50
1734578743.331053,56
1734578743.3908024,53
1734578743.4408748,51
1734578743.4891944,52
1734578743.5345714,56
1734578743.5890057,59
1734578743.6402276,65
1734578743.6890154,63
1734578743.739129,65
1734578743.79031,66
1734578743.8403103,63
1734578743.8910286,65
1734578743.9404924,68
1734578743.9903798,73
1734578744.0403876,66
1734578744.0904932,66
1734578744.1405082,74
1734578744.1912138,66
1734578744.2403297,65
1734578744.2915735,68
1734578744.3412406,79
1734578744.3906999,77
1734578744.4402926,81
1734578744.4889731,88
1734578744.5465338,89
1734578744.5907378,93
1734578744.6402276,83
1734578744.6905115,85
1734578744.7475667,81
1734578744.791109,86
1734578744.8406034,83
1734578744.8911624,75
1734578744.946167,76
1734578744.9909377,77
1734578745.043419,71
1734578745.0908732,65
1734578745.1467984,60
1734578745.1909564,60
1734578745.2408414,66
1734578745.297878,63
1734578745.3412755,58
1734578745.3906388,62
1734578745.4406555,58
1734578745.4972553,54
1734578745.547224,56
1734578745.5968907,55
1734578745.6465652,56
1734578745.691529,54
1734578745.7405474,55
1734578745.801757,59
1734578745.8496616,57
1734578745.8912244,57
1734578745.941393,58
1734578745.9975188,55
1734578746.0479047,55
1734578746.090904,53
1734578746.1409676,54
1734578746.1959941,53
1734578746.2543974,55
1734578746.303105,54
1734578746.3513126,51
1734578746.4058912,50
1734578746.4557693,50
1734578746.5033565,49
1734578746.5574453,49
1734578746.6071522,48
1734578746.6561348,46
1734578746.7051935,46
1734578746.7574422,45
1734578746.80588,45
1734578746.8559287,45
1734578746.9058611,46
1734578746.9559393,46
1734578747.0075245,45
1734578747.0578425,45
1734578747.1070726,43
1734578747.1557276,43
1734578747.2362986,42
1734578747.2575765,44
1734578747.3076422,45
1734578747.3577874,47
1734578747.4090734,46
1734578747.455769,47
1734578747.5081887,48
1734578747.5579798,47
1734578747.607727,48
1734578747.6557422,50
1734578747.70704,53
1734578747.758005,56
1734578747.807136,52
1734578747.8572078,50
1734578747.9111412,48
1734578747.957555,48
1734578748.0071652,48
1734578748.057308,47
1734578748.114355,50
1734578748.1635065,55
1734578748.20747,56
1734578748.257145,109
1734578748.3135374,99
1734578748.3577583,85
1734578748.4098275,75
1734578748.464312,80
1734578748.5149243,70
1734578748.5589962,67
1734578748.6079645,72
1734578748.6575484,64
1734578748.7071228,75
1734578748.7636106,68
1734578748.8077853,67
1734578748.864325,58
1734578748.9135053,66
1734578748.9703841,64
1734578749.0144148,63
1734578749.0642633,80
1734578749.112223,67
1734578749.1643932,60
1734578749.214386,65
1734578749.2575498,60
1734578749.3079798,64
1734578749.3690412,66
1734578749.4099846,65
1734578749.4575212,70
1734578749.5228374,64
1734578749.5726483,64
1734578749.6215081,61
1734578749.6698124,66
1734578749.723941,68
1734578749.7727296,74
1734578749.8148637,67
1734578749.857517,68
1734578749.9239092,70
1734578749.972665,72
1734578750.0226853,72
1734578750.0689793,81
1734578750.122764,73
1734578750.1742258,68
1734578750.2227526,70
1734578750.2742717,62
1734578750.3242495,59
1734578750.3738718,52
1734578750.4245603,55
1734578750.474192,55
1734578750.5242276,51
1734578750.5745978,52
1734578750.62459,55
1734578750.6742616,56
1734578750.726334,56
1734578750.7744489,59
1734578750.8242774,56
1734578750.8743186,61
1734578750.9245875,65
1734578750.9752214,63
1734578751.0238342,61
1734578751.0743525,62
1734578751.12503,62
1734578751.1744366,58
1734578751.2304707,60
1734578751.2792714,58
1734578751.3245826,75
1734578751.374159,69
1734578751.4302323,63
1734578751.4740613,61
1734578751.5296497,62
1734578751.5748644,62
1734578751.6298873,60
1734578751.680997,100
1734578751.7248077,95
1734578751.7750146,78
1734578751.827174,83
1734578751.8808668,77
1734578751.9234343,80
1734578751.9743211,79
1734578752.0316024,82
1734578752.07424,77
1734578752.130641,83
1734578752.174724,76
1734578752.2313025,85
1734578752.2743123,85
1734578752.331762,87
1734578752.374377,83
1734578752.4292078,73
1734578752.4741068,79
1734578752.53128,78
1734578752.5740304,85
1734578752.6318033,75
1734578752.688461,67
1734578752.731471,75
1734578752.7742236,83
1734578752.824045,81
1734578752.8896494,84
1734578752.935034,78
1734578752.9826741,75
1734578753.0241196,74
1734578753.0903482,70
1734578753.139601,77
1734578753.18814,67
1734578753.2243679,66
1734578753.2908304,61
1734578753.3395586,57
1734578753.3895795,61
1734578753.439577,59
1734578753.4973948,54
1734578753.5407207,52
1734578753.5907056,51
1734578753.641115,54
1734578753.6908565,51
1734578753.7409508,54
1734578753.7909708,56
1734578753.8410857,59
1734578753.8907418,61
1734578753.9394813,65
1734578753.9908257,61
1734578754.0416312,61
1734578754.0908694,59
1734578754.14099,60
1734578754.1908977,61
1734578754.2412026,68
1734578754.2908998,67
1734578754.3395474,75
1734578754.3909633,70
1734578754.441227,72
1734578754.4914517,71
1734578754.5415585,79
1734578754.5975325,78
1734578754.6420248,84
1734578754.6915386,88
1734578754.7414823,87
1734578754.7985957,88
1734578754.8414288,88
1734578754.8920734,90
1734578754.940841,84
1734578754.9986403,73
1734578755.0475655,78
1734578755.0920348,70
1734578755.1472251,62
1734578755.1980038,60
1734578755.2475324,58
1734578755.2979417,67
1734578755.3413332,74
1734578755.398089,66
1734578755.4471328,68
1734578755.4973218,64
1734578755.5480108,64
1734578755.5923283,62
1734578755.64165,72
1734578755.6923902,67
1734578755.7414684,68
1734578755.7927186,64
1734578755.848157,67
1734578755.892956,66
1734578755.9485185,64
1734578755.9980772,64
1734578756.0549586,61
1734578756.1037397,62
1734578756.141109,65
1734578756.1983721,61
1734578756.2562792,56
1734578756.3042073,58
1734578756.3521957,55
1734578756.4085133,57
1734578756.4576359,57
1734578756.5064316,59
1734578756.5558355,57
1734578756.6074786,69
1734578756.6575446,67
1734578756.706486,64
1734578756.75648,71
1734578756.8076255,66
1734578756.857413,64
1734578756.9050918,67
1734578756.9563692,62
1734578757.0084183,65
1734578757.057855,65
1734578757.1078365,73
1734578757.1564455,71
1734578757.2079744,67
1734578757.2568033,69
1734578757.3206744,67
1734578757.3584082,72
1734578757.409919,71
1734578757.4564714,71
1734578757.5079505,67
1734578757.5580735,66
1734578757.6080043,72
1734578757.6564312,72
1734578757.7082384,68
1734578757.7575798,69
1734578757.8064795,72
1734578757.857607,72
1734578757.9115188,72
1734578757.964041,81
1734578758.0078673,82
1734578758.05807,80
1734578758.108174,81
1734578758.1643589,80
1734578758.2085934,93
1734578758.2581947,91
1734578758.3151505,91
1734578758.3642159,78
1734578758.4116073,93
1734578758.4645016,82
1734578758.5079648,88
1734578758.5643933,92
1734578758.614616,113
1734578758.6647604,114
1734578758.713996,107
1734578758.758194,104
1734578758.8081474,96
1734578758.8696332,93
1734578758.9099655,90
1734578758.961402,96
1734578759.0085816,91
1734578759.0652602,96
1734578759.1084838,97
1734578759.1584318,92
1734578759.2181516,80
1734578759.2590218,73
1734578759.3080652,62
1734578759.3584547,82
1734578759.422401,85
1734578759.4651275,84
1734578759.5087063,71
1734578759.573348,84
1734578759.6235213,69
1734578759.6718812,63
1734578759.7080119,65
1734578759.7733018,62
1734578759.823293,70
1734578759.8732996,68
1734578759.922663,70
1734578759.9750402,65
1734578760.0243962,62
1734578760.0732281,62
1734578760.1250246,61
1734578760.1742535,62
1734578760.2244897,61
1734578760.2739193,62
1734578760.3232028,64
1734578760.3750477,63
1734578760.4243329,62
1734578760.4746099,68
1734578760.5232272,61
1734578760.5746145,59
1734578760.624324,56
1734578760.674456,57
1734578760.7254136,58
1734578760.7752776,62
1734578760.8242288,60
1734578760.8751068,61
1734578760.9247634,63
1734578760.9747741,61
1734578761.0242605,62
1734578761.0748892,66
1734578761.1252584,85
1734578761.174319,94
1734578761.2233393,91
1734578761.3037536,73
1734578761.3281093,69
1734578761.3762321,63
1734578761.430242,64
1734578761.4809203,61
1734578761.531254,62
1734578761.5743268,61
1734578761.6258707,57
1734578761.6752179,55
1734578761.7246895,55
1734578761.7753227,59
1734578761.8245978,81
1734578761.8755093,70
1734578761.9258223,79
1734578761.9818828,73
1734578762.0251713,74
1734578762.081828,60
1734578762.1311758,67
1734578762.1751478,71
1734578762.224687,73
1734578762.285934,81
1734578762.333614,84
1734578762.3746483,88
1734578762.4247336,85
1734578762.4745471,84
1734578762.524266,80
1734578762.5809946,73
1734578762.6242466,82
1734578762.674385,96
1734578762.73705,84
1734578762.786062,77
1734578762.8337822,80
1734578762.8746495,76
1734578762.9402661,82
1734578762.9902062,80
1734578763.0394788,72
1734578763.074801,78
1734578763.1402755,85
1734578763.1882994,97
1734578763.2413163,100
1734578763.2900844,93
1734578763.3414183,108
1734578763.3912144,138
1734578763.4411416,163
1734578763.4901166,153
1734578763.5416522,137
1734578763.5914798,126
1734578763.6424916,113
1734578763.6918747,98
1734578763.7420213,87
1734578763.7918131,80
1734578763.8412943,73
1734578763.891346,66
1734578763.9413493,70
1734578763.9914312,66
1734578764.0415785,74
1734578764.091079,68
1734578764.14019,68
1734578764.1918137,66
1734578764.241801,73
1734578764.2917583,76
1734578764.3415754,77
1734578764.391843,76
1734578764.4428267,69
1734578764.4921854,71
1734578764.54652,70
1734578764.5912907,70
1734578764.6456466,67
1734578764.6921577,71
1734578764.742444,72
1734578764.7918675,74
1734578764.8457549,79
1734578764.8985107,75
1734578764.9419138,77
1734578764.9969895,75
1734578765.0420794,77
1734578765.0983355,76
1734578765.148132,73
1734578765.1990585,67
1734578765.2479813,64
1734578765.2981184,61
1734578765.3482788,59
1734578765.399611,56
1734578765.448582,58
1734578765.498452,57
1734578765.546355,57
1734578765.5919945,54
1734578765.648691,56
1734578765.691552,58
1734578765.7414074,60
1734578765.7973258,61
1734578765.8466105,61
1734578765.905284,59
1734578765.9536724,65
1734578765.99168,58
1734578766.0575342,59
1734578766.1068807,53
1734578766.1563182,54
1734578766.2050333,52
1734578766.2568974,49
1734578766.306997,53
1734578766.3571668,52
1734578766.3978837,56
1734578766.458332,51
1734578766.5070314,52
1734578766.5569768,61
1734578766.6007645,57
1734578766.6582336,57
1734578766.7089112,61
1734578766.758115,75
1734578766.8069575,76
1734578766.8582573,71
1734578766.9069798,67
1734578766.9579523,68
1734578767.0069323,74
1734578767.0594392,72
1734578767.1068969,74
1734578767.158735,79
1734578767.2111802,76
1734578767.2569537,78
1734578767.3081992,71
1734578767.3645258,77
1734578767.411244,79
1734578767.457075,75
1734578767.5075984,81
1734578767.558556,82
1734578767.6126173,83
1734578767.6585236,66
1734578767.7070136,70
1734578767.763886,61
1734578767.8149664,62
1734578767.8592346,57
1734578767.9120827,56
1734578767.95861,56
1734578768.0094876,55
1734578768.058827,55
1734578768.1132462,52
1734578768.1590295,56
1734578768.214832,61
1734578768.264921,60
1734578768.3090498,63
1734578768.3587036,63
1734578768.415324,62
1734578768.4664865,68
1734578768.5082126,68
1734578768.564009,65
1734578768.617285,62
1734578768.6643457,60
1734578768.708703,58
1734578768.7645133,56
1734578768.809097,53
1734578768.8655417,54
1734578768.91285,58
1734578768.9587607,60
1734578769.0149999,57
1734578769.0724173,57
1734578769.1217718,57
1734578769.1647754,57
1734578769.2418637,58
1734578769.2626913,59
1734578769.322298,62
1734578769.369984,66
1734578769.4237962,68
1734578769.47381,70
1734578769.5231965,82
1734578769.5584795,70
1734578769.6237996,67
1734578769.6717536,67
1734578769.7238467,72
1734578769.7655988,79
1734578769.8249967,75
1734578769.875273,78
1734578769.9238117,74
1734578769.9754019,67
1734578770.0252023,68
1734578770.0737557,56
1734578770.1252382,62
1734578770.1751628,56
1734578770.2245007,56
1734578770.274871,63
1734578770.3248906,56
1734578770.3737884,56
1734578770.4257932,54
1734578770.4749982,62
1734578770.5250578,66
1734578770.5752642,71
1734578770.6253798,65
1734578770.6758802,60
