Time,EMG Value
1734578670.3383563,47
1734578670.3383563,48
1734578670.3383563,49
1734578670.3383563,48
1734578670.3383563,47
1734578670.3383563,47
1734578670.3383563,48
1734578670.3383563,49
1734578670.3383563,49
1734578670.4001553,48
1734578670.4505692,50
1734578670.498719,48
1734578670.5526242,108
1734578670.6011539,84
1734578670.6510262,69
1734578670.699421,64
1734578670.7521827,57
1734578670.801005,52
1734578670.8494337,51
1734578670.901084,53
1734578670.9509544,53
1734578671.0011601,53
1734578671.0525644,51
1734578671.1010303,51
1734578671.1518903,52
1734578671.2015421,51
1734578671.2518203,50
1734578671.3019788,48
1734578671.353171,50
1734578671.402625,49
1734578671.4530864,47
1734578671.5026832,48
1734578671.552827,47
1734578671.6033518,48
1734578671.653021,47
1734578671.7026947,48
1734578671.752178,46
1734578671.8022559,45
1734578671.8586643,47
1734578671.907539,46
1734578671.9530635,45
1734578672.002524,45
1734578672.0528207,44
1734578672.1029606,45
1734578672.152906,46
1734578672.2028997,51
1734578672.252771,50
1734578672.3030224,49
1734578672.353067,49
1734578672.4031076,48
1734578672.4527764,47
1734578672.5059304,47
1734578672.5524952,45
1734578672.6125422,46
1734578672.6528594,46
1734578672.7093923,44
1734578672.753009,54
1734578672.8030329,54
1734578672.8595352,52
1734578672.9035516,52
1734578672.9557886,52
1734578673.0040886,52
1734578673.0596068,54
1734578673.1030886,53
1734578673.1597784,61
1734578673.2100432,61
1734578673.253471,62
1734578673.3032286,61
1734578673.353159,63
1734578673.409416,64
1734578673.4517224,59
1734578673.50203,60
1734578673.5637994,62
1734578673.6116118,57
1734578673.6517966,62
1734578673.7184856,61
1734578673.7648053,69
1734578673.813279,58
1734578673.8614347,53
1734578673.9187896,50
1734578673.9684608,50
1734578674.017773,49
1734578674.0663438,47
1734578674.119385,48
1734578674.1693285,49
1734578674.2179675,49
1734578674.2698812,51
1734578674.320016,53
1734578674.3678691,52
1734578674.417973,53
1734578674.4693458,52
1734578674.5196614,53
1734578674.5696056,51
1734578674.6191902,51
1734578674.6697044,51
1734578674.7199621,53
1734578674.7691915,51
1734578674.8193884,51
1734578674.8697305,52
1734578674.9194965,49
1734578674.9701104,51
1734578675.0194602,54
1734578675.0698218,54
1734578675.1196444,53
1734578675.171228,52
1734578675.218932,58
1734578675.2694557,51
1734578675.3188896,50
1734578675.3689322,52
1734578675.4260902,54
1734578675.4750314,57
1734578675.5193877,59
1734578675.5692687,57
1734578675.6190927,58
1734578675.6693156,58
1734578675.719765,56
1734578675.7689257,54
1734578675.8259623,53
1734578675.8702016,55
1734578675.9258897,53
1734578675.9695277,52
1734578676.019403,50
1734578676.0701933,52
1734578676.1314073,52
1734578676.17002,53
1734578676.2191384,54
1734578676.2760057,55
1734578676.325853,56
1734578676.3698466,56
1734578676.4191153,57
1734578676.469421,54
1734578676.5313897,51
1734578676.5793161,48
1734578676.6271675,49
1734578676.6838732,48
1734578676.7372644,50
1734578676.7822268,50
1734578676.8197143,50
1734578676.8849182,48
1734578676.9239328,47
1734578676.9831235,46
1734578677.0193744,46
1734578677.0847511,46
1734578677.1346638,45
1734578677.1840003,45
1734578677.232478,46
1734578677.2845676,45
1734578677.3347318,55
1734578677.3847911,60
1734578677.436655,71
1734578677.486715,64
1734578677.5348873,54
1734578677.6087952,50
1734578677.6361969,48
1734578677.686151,48
1734578677.7368612,49
1734578677.7861404,46
1734578677.8358986,46
1734578677.8865001,45
1734578677.9346848,43
1734578677.9847982,45
1734578678.0361178,45
1734578678.0848155,49
1734578678.1377308,50
1734578678.1863656,51
1734578678.2363317,52
1734578678.2867737,52
1734578678.336512,53
1734578678.385947,55
1734578678.436558,54
1734578678.486186,54
1734578678.5364175,54
1734578678.5865948,54
1734578678.6364062,56
1734578678.6848257,52
1734578678.7423933,50
1734578678.7862656,50
1734578678.8424032,49
1734578678.8862295,50
1734578678.9382195,50
1734578678.9907417,49
1734578679.0431583,51
1734578679.0867,50
1734578679.1366334,51
1734578679.1928372,49
1734578679.242599,50
1734578679.2862513,50
1734578679.343231,47
1734578679.3923752,47
1734578679.4392982,48
1734578679.4868453,47
1734578679.543679,48
1734578679.5868232,48
1734578679.6365893,47
1734578679.6915236,47
1734578679.740289,49
1734578679.7865088,49
1734578679.8365543,50
1734578679.8855734,48
1734578679.935423,49
1734578679.9883554,49
1734578680.0436351,50
1734578680.086803,51
1734578680.136985,50
1734578680.1858728,52
1734578680.251537,53
1734578680.2925029,54
1734578680.3366826,56
1734578680.4016147,55
1734578680.4517448,59
1734578680.5006406,63
1734578680.53719,60
1734578680.601631,55
1734578680.6517098,53
1734578680.7016292,48
1734578680.7511406,50
1734578680.8029175,51
1734578680.8531368,49
1734578680.9015913,50
1734578680.9517097,49
1734578681.0039098,50
1734578681.0517092,50
1734578681.1030881,58
1734578681.1536481,52
1734578681.2028558,54
1734578681.2536502,54
1734578681.3033183,53
1734578681.3535988,52
1734578681.4034765,53
1734578681.4537456,54
1734578681.5036154,58
1734578681.5538003,53
1734578681.603321,52
1734578681.6532536,53
1734578681.7033713,52
1734578681.7540908,55
